,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file,combined_address,ADDRESS_V1,fuzzy_match,match_confidence
82,25E9DA80-6F3D-555E-E063-4704A8C066F2,315000,2024-10-18,HP13 5DS,T,N,F,nan,46,TEMPLE END,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-6F3D-555E-E063-4704A8C066F2/current,./data-land_registry/HP13-march2020-to-nov2025.csv,46 temple end nan hp13 5ds,46 TEMPLE END HP13 5DS,46 temple end hp13 5ds,91.66666666666666
83,E53EDD2D-5C07-83EC-E053-6B04A8C03A59,305500,2022-03-04,HP13 5DS,T,N,F,nan,46,TEMPLE END,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E53EDD2D-5C07-83EC-E053-6B04A8C03A59/current,./data-land_registry/HP13-march2020-to-nov2025.csv,46 temple end nan hp13 5ds,46 TEMPLE END HP13 5DS,46 temple end hp13 5ds,91.66666666666666
84,E7B085FB-D0FA-7E31-E053-6C04A8C0E67F,300000,2022-07-08,HP13 5DS,T,N,F,nan,54,TEMPLE END,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FB-D0FA-7E31-E053-6C04A8C0E67F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,54 temple end nan hp13 5ds,54 TEMPLE END HP13 5DS,54 temple end hp13 5ds,91.66666666666666
85,045A1898-554E-9A24-E063-4804A8C048EA,350000,2023-08-02,HP13 5DT,S,N,F,nan,4,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-554E-9A24-E063-4804A8C048EA/current,./data-land_registry/HP13-march2020-to-nov2025.csv,4 hughenden road nan hp13 5dt,4 HUGHENDEN ROAD HP13 5DT,4 hughenden road hp13 5dt,92.5925925925926
86,CB0035E5-888B-58AE-E053-6B04A8C091AF,305000,2021-04-30,HP13 5DT,S,N,F,nan,6,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/CB0035E5-888B-58AE-E053-6B04A8C091AF/current,./data-land_registry/HP13-march2020-to-nov2025.csv,6 hughenden road nan hp13 5dt,6 HUGHENDEN ROAD HP13 5DT,6 hughenden road hp13 5dt,92.5925925925926
87,DE2D0CDF-568E-51EE-E053-6C04A8C00671,334000,2021-02-18,HP13 5DT,S,N,F,nan,8,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/DE2D0CDF-568E-51EE-E053-6C04A8C00671/current,./data-land_registry/HP13-march2020-to-nov2025.csv,8 hughenden road nan hp13 5dt,8 HUGHENDEN ROAD HP13 5DT,8 hughenden road hp13 5dt,92.5925925925926
88,D22473F4-DEB3-7B40-E053-6C04A8C0A630,287500,2021-08-06,HP13 5DT,S,N,F,nan,20,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DEB3-7B40-E053-6C04A8C0A630/current,./data-land_registry/HP13-march2020-to-nov2025.csv,20 hughenden road nan hp13 5dt,20 HUGHENDEN ROAD HP13 5DT,20 hughenden road hp13 5dt,92.85714285714286
89,E2D14905-1184-4C2D-E053-6B04A8C0422B,185250,2022-05-20,HP13 5DT,S,N,F,nan,24,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E2D14905-1184-4C2D-E053-6B04A8C0422B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,24 hughenden road nan hp13 5dt,24 HUGHENDEN ROAD HP13 5DT,24 hughenden road hp13 5dt,92.85714285714286
90,EC7AD099-4E16-9200-E053-6C04A8C0E306,367500,2022-09-02,HP13 5DT,S,N,F,nan,30,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/EC7AD099-4E16-9200-E053-6C04A8C0E306/current,./data-land_registry/HP13-march2020-to-nov2025.csv,30 hughenden road nan hp13 5dt,30 HUGHENDEN ROAD HP13 5DT,30 hughenden road hp13 5dt,92.85714285714286
91,D707E534-CECE-0AD9-E053-6B04A8C067CC,368000,2021-09-18,HP13 5DT,S,N,F,nan,34,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/D707E534-CECE-0AD9-E053-6B04A8C067CC/current,./data-land_registry/HP13-march2020-to-nov2025.csv,34 hughenden road nan hp13 5dt,34 HUGHENDEN ROAD HP13 5DT,4 hughenden road hp13 5dt,90.9090909090909
92,E7B085FB-D113-7E31-E053-6C04A8C0E67F,375000,2022-04-08,HP13 5DU,S,N,F,nan,64,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FB-D113-7E31-E053-6C04A8C0E67F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,64 hughenden road nan hp13 5du,64 HUGHENDEN ROAD HP13 5DU,64 hughenden road hp13 5du,92.85714285714286
93,D22473F4-DF25-7B40-E053-6C04A8C0A630,335000,2021-09-01,HP13 5DU,S,N,F,nan,66,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DF25-7B40-E053-6C04A8C0A630/current,./data-land_registry/HP13-march2020-to-nov2025.csv,66 hughenden road nan hp13 5du,66 HUGHENDEN ROAD HP13 5DU,66 hughenden road hp13 5du,92.85714285714286
94,EA3278A9-8EC8-2676-E053-6B04A8C015F8,376000,2022-09-02,HP13 5DU,S,N,F,nan,76,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/EA3278A9-8EC8-2676-E053-6B04A8C015F8/current,./data-land_registry/HP13-march2020-to-nov2025.csv,76 hughenden road nan hp13 5du,76 HUGHENDEN ROAD HP13 5DU,76 hughenden road hp13 5du,92.85714285714286
95,38EDC0C2-A45B-0F63-E063-4704A8C00424,364000,2025-02-26,HP13 5DU,S,N,F,nan,80,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C2-A45B-0F63-E063-4704A8C00424/current,./data-land_registry/HP13-march2020-to-nov2025.csv,80 hughenden road nan hp13 5du,80 HUGHENDEN ROAD HP13 5DU,80 hughenden road hp13 5du,92.85714285714286
96,31C68071-C2E5-FEE3-E063-4804A8C04F37,340000,2025-03-21,HP13 5DU,S,N,F,nan,86,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-C2E5-FEE3-E063-4804A8C04F37/current,./data-land_registry/HP13-march2020-to-nov2025.csv,86 hughenden road nan hp13 5du,86 HUGHENDEN ROAD HP13 5DU,86 hughenden road hp13 5du,92.85714285714286
97,F3B6C197-C43D-6E40-E053-6C04A8C0B3B4,365000,2022-11-02,HP13 5DU,S,N,F,nan,92,HUGHENDEN ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F3B6C197-C43D-6E40-E053-6C04A8C0B3B4/current,./data-land_registry/HP13-march2020-to-nov2025.csv,92 hughenden road nan hp13 5du,92 HUGHENDEN ROAD HP13 5DU,92 hughenden road hp13 5du,92.85714285714286
98,E073986A-D449-2134-E053-6C04A8C0233B,427000,2022-01-20,HP13 5EA,S,N,F,nan,68,TELFORD WAY,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E073986A-D449-2134-E053-6C04A8C0233B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,68 telford way nan hp13 5ea,68 TELFORD WAY HP13 5EA,68 telford way hp13 5ea,92.0
99,42C129E4-3B73-60A9-E063-4804A8C0C25D,430000,2025-09-15,HP13 5EA,T,N,F,nan,80,TELFORD WAY,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-3B73-60A9-E063-4804A8C0C25D/current,./data-land_registry/HP13-march2020-to-nov2025.csv,80 telford way nan hp13 5ea,80 TELFORD WAY HP13 5EA,80 telford way hp13 5ea,92.0
