,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file
58,3273ead64e87d6b4e0a2d101b00ceb4d3d65c835f97514b7ca2ddbebb49b0f65,THE FLAT,80 BARKHAM ROAD,,RG41 2RD,10001661296,E,D,46,60,Flat,Detached,2021-07-05,E06000041,E14001048,,2021-07-06,marketed sale,40,55,456,317.0,4.7,81,3.2,51.0,52.0,818.0,569.0,79.0,80.0,58.0,Single,Y,01,Y,,,0.0,not defined,Normal,0.0,4.0,4.0,100.0,0.0,From main system,Good,Good,"To unheated space, no insulation (assumed)",,,Single glazed,Very Poor,Very Poor,"Timber frame, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Flat, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,no corridor,,2.3,0.0,N,natural,"THE FLAT, 80 BARKHAM ROAD",Wokingham,Wokingham,WOKINGHAM,England and Wales: before 1900,2021-07-06 21:04:16,Owner-occupied,5.0,,14065767.0,Energy Assessor,100,data/domestic-E06000041-Wokingham/certificates.csv
59,262731020242009040707593862010468,"10, Eastbury Park",Winnersh,,RG41 5TL,3285820668,D,C,66,77,House,Semi-Detached,2009-04-06,E06000041,E14001048,,2009-04-07,marketed sale,61,74,264,176.0,3.8,44,2.5,74.0,39.0,438.0,307.0,112.0,97.0,86.19,Single,Y,NO DATA!,,,2106.0,100.0,double glazing installed during or after 2002,Normal,0.0,4.0,4.0,10.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, mains gas",,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.34,0.0,N,natural,"10, Eastbury Park, Winnersh",Wokingham,Wokingham,WOKINGHAM,England and Wales: 1976-1982,2009-04-07 07:59:38,owner-occupied,,,14037293.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
60,1424915907652016031716435393960343,Flat 5 Halpin House,Part Lane,Riseley,RG7 1RX,3381733478,E,C,40,73,Flat,End-Terrace,2016-03-17,E06000041,E14001048,,2016-03-17,rental (social),26,53,735,384.0,5.9,124,3.1,56.0,37.0,805.0,321.0,219.0,126.0,47.0,dual,N,Ground,N,,2402.0,100.0,double glazing installed before 2002,Normal,0.0,2.0,2.0,50.0,0.0,"Electric immersion, off-peak",Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, electric",,,(another dwelling above),,,Electric storage heaters,Average,Very Poor,Automatic charge control,Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,electricity (not community),0.0,unheated corridor,8.11,2.36,,N,natural,"Flat 5 Halpin House, Part Lane, Riseley",Wokingham,Wokingham,READING,England and Wales: 1950-1966,2016-03-17 16:43:53,rental (social),,,14001672.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
61,1742256709442019090913164669610718,2 Fleur de Lis,Dukes Ride,,RG45 6AZ,4484306678,B,B,84,84,Flat,Enclosed Mid-Terrace,2019-09-09,E06000041,E14000586,,2019-09-09,new dwelling,92,92,60,60.0,0.7,10,0.7,67.0,67.0,149.0,149.0,102.0,102.0,69.0,off-peak 7 hour,,ground floor,,,,,NO DATA!,NO DATA!,,,,100.0,0.0,Community scheme,Good,Very Good,Average thermal transmittance 0.08 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m-¦K,Very Good,Very Good,,,,(other premises above),,,Community scheme,Good,Very Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,NO DATA!,,,,,NO DATA!,"2 Fleur de Lis, Dukes Ride",Wokingham,Bracknell,CROWTHORNE,NO DATA!,2019-09-09 13:16:46,owner-occupied,5.0,5.0,10093381526.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
62,1125182989222014042419422452948414,"23, Bathurst Road",Winnersh,,RG41 5JB,1516812278,D,B,59,85,House,Mid-Terrace,2014-04-24,E06000041,E14001048,,2014-04-24,marketed sale,55,85,257,75.0,3.9,49,1.2,92.0,52.0,682.0,432.0,135.0,75.0,78.0,dual,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,0.0,4.0,4.0,24.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 24% of fixed outlets,Poor,Poor,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"23, Bathurst Road, Winnersh",Wokingham,Wokingham,WOKINGHAM,England and Wales: 1967-1975,2014-04-24 19:42:24,owner-occupied,17.0,4.0,14032327.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
63,280068760022009050709552671268631,"405, Finchampstead Road",Finchampstead,,RG40 3RL,3787651668,D,D,64,66,House,Semi-Detached,2009-05-06,E06000041,E14000586,,2009-05-07,marketed sale,59,60,239,230.0,5.8,40,5.7,126.0,67.0,671.0,681.0,116.0,116.0,146.8,Single,Y,NO DATA!,,,2106.0,,INVALID!,Normal,2.0,8.0,8.0,10.0,0.0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",,,Single glazed,Very Poor,Very Poor,"Cavity wall, filled cavity",Good,Good,,,,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.39,0.0,N,natural,"405, Finchampstead Road, Finchampstead",Wokingham,Bracknell,WOKINGHAM,England and Wales: 1950-1966,2009-05-07 09:55:26,owner-occupied,,,14008668.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
64,1576295909542017101711364157439838,"3, Soames Place",,,RG40 5AT,3592804578,B,A,84,97,House,Mid-Terrace,2017-10-17,E06000041,E14000803,,2017-10-17,new dwelling,87,100,87,-10.0,1.1,15,-0.1,50.0,50.0,193.0,193.0,76.0,45.0,70.0,standard tariff,,NO DATA!,,,,,NO DATA!,NO DATA!,,,,100.0,0.0,From main system,Good,Good,Average thermal transmittance 0.16 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.25 W/m-¦K,Very Good,Very Good,,,,Average thermal transmittance 0.11 W/m-¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"3, Soames Place",Wokingham,Maidenhead,WOKINGHAM,NO DATA!,2017-10-17 11:36:41,unknown,16.0,16.0,10024047141.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
65,1421170248652016030714533790060849,"3, Baker Crescent",,,RG40 1GR,8974803478,B,B,88,90,House,Semi-Detached,2016-03-07,E06000041,E14001048,,2016-03-07,new dwelling,90,92,56,43.0,0.9,10,0.7,59.0,59.0,237.0,237.0,88.0,53.0,87.0,standard tariff,,NO DATA!,,,,,NO DATA!,NO DATA!,,,,,0.0,From main system,Good,Good,Average thermal transmittance 0.12 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.27 W/m-¦K,Very Good,Very Good,,,,Average thermal transmittance 0.09 W/m-¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"3, Baker Crescent",Wokingham,Wokingham,WOKINGHAM,NO DATA!,2016-03-07 14:53:37,owner-occupied,10.0,10.0,10032936595.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
66,1770926019062019120612490038668941,"59, Trinder Road",,,RG41 1BH,4334118678,B,A,84,118,House,Semi-Detached,2019-12-06,E06000041,E14001048,,2019-12-06,new dwelling,86,118,86,-135.0,1.2,15,-1.8,65.0,65.0,208.0,208.0,77.0,46.0,80.0,standard tariff,,NO DATA!,,,,,NO DATA!,NO DATA!,,,,100.0,0.0,From main system,Good,Good,Average thermal transmittance 0.18 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.25 W/m-¦K,Very Good,Very Good,,,,Average thermal transmittance 0.12 W/m-¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"59, Trinder Road",Wokingham,Wokingham,WOKINGHAM,NO DATA!,2019-12-06 12:49:00,unknown,20.0,20.0,10094224520.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
67,998892348732013083013174909278309,"3, Harts Close",Arborfield,,RG2 9QH,4909323178,D,B,64,91,Bungalow,Detached,2013-08-23,E06000041,E14001048,,2013-08-30,rental (social),63,92,245,37.0,2.7,47,0.5,39.0,39.0,447.0,355.0,140.0,66.0,56.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,0.0,3.0,3.0,88.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 88% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"3, Harts Close, Arborfield",Wokingham,Wokingham,READING,England and Wales: 1967-1975,2013-08-30 13:17:49,rental (social),8.0,7.0,14006075.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
