,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__colsample_bylevel,param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__reg_alpha,param_regressor__reg_lambda,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
27,2.9271110693613687,0.13332464692647755,0.01925961176554362,0.0005954539320969086,0.8497580139654256,0.8716012597627549,0.3842770071531545,0.014360377175443376,7,4,257,0.9539285770025874,4.159457560881794,0.8110476100766333,"{'regressor__colsample_bylevel': 0.8497580139654256, 'regressor__colsample_bytree': 0.8716012597627549, 'regressor__gamma': 0.3842770071531545, 'regressor__learning_rate': 0.014360377175443376, 'regressor__max_depth': 7, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 257, 'regressor__reg_alpha': 0.9539285770025874, 'regressor__reg_lambda': 4.159457560881794, 'regressor__subsample': 0.8110476100766333}",-0.19149227440357208,-0.18446356058120728,-0.18503814935684204,-0.18699799478054047,0.003186581246704088,1,-0.16737733781337738,-0.1668030321598053,-0.1659526526927948,-0.16671100755532584,0.0005852539728326229
98,10.832427740097046,0.256449796892977,0.04307452837626139,0.0029341355240605944,0.7109649003544284,0.8416200835329997,0.2824205666313082,0.01657086394283524,9,3,1298,0.5276477301447858,2.6378235650289876,0.8443263845162757,"{'regressor__colsample_bylevel': 0.7109649003544284, 'regressor__colsample_bytree': 0.8416200835329997, 'regressor__gamma': 0.2824205666313082, 'regressor__learning_rate': 0.01657086394283524, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1298, 'regressor__reg_alpha': 0.5276477301447858, 'regressor__reg_lambda': 2.6378235650289876, 'regressor__subsample': 0.8443263845162757}",-0.19319960474967957,-0.18821506202220917,-0.18879511952400208,-0.19006992876529694,0.002225649044176042,2,-0.1003350019454956,-0.08563914149999619,-0.09080514311790466,-0.09225976218779881,0.006087091042376668
11,15.196835279464722,0.3874667357314218,0.04715355237325033,0.001446466274369934,0.8481386789093172,0.8568198488145982,0.21377050917927481,0.01254191267440952,8,3,1698,0.8957635956735194,2.401480892728447,0.8689826715929151,"{'regressor__colsample_bylevel': 0.8481386789093172, 'regressor__colsample_bytree': 0.8568198488145982, 'regressor__gamma': 0.21377050917927481, 'regressor__learning_rate': 0.01254191267440952, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1698, 'regressor__reg_alpha': 0.8957635956735194, 'regressor__reg_lambda': 2.401480892728447, 'regressor__subsample': 0.8689826715929151}",-0.19356906414031982,-0.18792033195495605,-0.18897473812103271,-0.1901547114054362,0.0024523861223198647,3,-0.11294423043727875,-0.10252484679222107,-0.1075957864522934,-0.10768828789393108,0.004254198418288507
97,11.879125356674194,0.07354611867673548,0.042117913564046226,0.00399768962013291,0.9990622755537841,0.8506585030993727,0.2976925086600219,0.01670764773884275,10,3,1051,0.8980542894407137,1.3205585619280287,0.7572063161991,"{'regressor__colsample_bylevel': 0.9990622755537841, 'regressor__colsample_bytree': 0.8506585030993727, 'regressor__gamma': 0.2976925086600219, 'regressor__learning_rate': 0.01670764773884275, 'regressor__max_depth': 10, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1051, 'regressor__reg_alpha': 0.8980542894407137, 'regressor__reg_lambda': 1.3205585619280287, 'regressor__subsample': 0.7572063161991}",-0.19311511516571045,-0.18820087611675262,-0.18916097283363342,-0.19015898803869882,0.0021267286490024673,4,-0.09614882618188858,-0.07913975417613983,-0.08367236703634262,-0.08632031579812367,0.007191933310218693
86,15.227073272069296,1.5537029235950464,0.04904810587565104,0.0014392189920125848,0.7998447357737453,0.9191647410427903,0.3468588037016692,0.026673075999338318,10,5,1412,0.5334610919763215,4.075570332203831,0.9365791633673591,"{'regressor__colsample_bylevel': 0.7998447357737453, 'regressor__colsample_bytree': 0.9191647410427903, 'regressor__gamma': 0.3468588037016692, 'regressor__learning_rate': 0.026673075999338318, 'regressor__max_depth': 10, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 1412, 'regressor__reg_alpha': 0.5334610919763215, 'regressor__reg_lambda': 4.075570332203831, 'regressor__subsample': 0.9365791633673591}",-0.19180479645729065,-0.19006401300430298,-0.19072696566581726,-0.19086525837580362,0.0007173680658144047,5,-0.07463373243808746,-0.04862141236662865,-0.062879778444767,-0.06204497441649437,0.010635878656673363
45,4.446781953175862,0.033099704442754854,0.02560003598531087,0.0004525834157421405,0.8741632037031729,0.9601349821629166,0.2809333460718868,0.03385968597903402,10,5,378,0.7545428740846823,0.9124954753437304,0.9707658720038699,"{'regressor__colsample_bylevel': 0.8741632037031729, 'regressor__colsample_bytree': 0.9601349821629166, 'regressor__gamma': 0.2809333460718868, 'regressor__learning_rate': 0.03385968597903402, 'regressor__max_depth': 10, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 378, 'regressor__reg_alpha': 0.7545428740846823, 'regressor__reg_lambda': 0.9124954753437304, 'regressor__subsample': 0.9707658720038699}",-0.19350282847881317,-0.18882708251476288,-0.19036813080310822,-0.19089934726556143,0.0019454722267475532,6,-0.12201306968927383,-0.10499581694602966,-0.10737785696983337,-0.11146224786837895,0.007523669738053558
15,11.530754486719767,0.10718226358178014,0.040436347325642906,0.00162607230102805,0.8532241907732696,0.8252233009446337,0.11105390523536512,0.021986536733368284,7,3,1497,0.21876421957307024,2.7324080080693647,0.8211508513174122,"{'regressor__colsample_bylevel': 0.8532241907732696, 'regressor__colsample_bytree': 0.8252233009446337, 'regressor__gamma': 0.11105390523536512, 'regressor__learning_rate': 0.021986536733368284, 'regressor__max_depth': 7, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1497, 'regressor__reg_alpha': 0.21876421957307024, 'regressor__reg_lambda': 2.7324080080693647, 'regressor__subsample': 0.8211508513174122}",-0.19386641681194305,-0.18940100073814392,-0.19022680819034576,-0.19116474191347757,0.0019398925966449534,7,-0.10878883302211761,-0.10225781798362732,-0.10347874462604523,-0.10484179854393005,0.0028351338998999064
18,9.447028636932373,0.3128645657266525,0.03745118776957194,0.0011267598034893952,0.877809017163818,0.7242559978998145,0.18482722803070223,0.03421599382774259,9,5,983,0.983423140894843,2.0952977697782122,0.9449295619658151,"{'regressor__colsample_bylevel': 0.877809017163818, 'regressor__colsample_bytree': 0.7242559978998145, 'regressor__gamma': 0.18482722803070223, 'regressor__learning_rate': 0.03421599382774259, 'regressor__max_depth': 9, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 983, 'regressor__reg_alpha': 0.983423140894843, 'regressor__reg_lambda': 2.0952977697782122, 'regressor__subsample': 0.9449295619658151}",-0.19265532493591309,-0.19103415310382843,-0.18998895585536957,-0.1912261446317037,0.0010969735878016177,8,-0.08791414648294449,-0.06243070587515831,-0.07517772167921066,-0.07517419134577115,0.010403571362760707
54,7.269404888153076,0.12414465837792947,0.02974239985148112,0.00026033389871199243,0.9933702006262812,0.8668015115927753,0.16134319413879183,0.014340078329817277,8,3,863,0.07379656473539886,2.715417137605283,0.9907907606857296,"{'regressor__colsample_bylevel': 0.9933702006262812, 'regressor__colsample_bytree': 0.8668015115927753, 'regressor__gamma': 0.16134319413879183, 'regressor__learning_rate': 0.014340078329817277, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 863, 'regressor__reg_alpha': 0.07379656473539886, 'regressor__reg_lambda': 2.715417137605283, 'regressor__subsample': 0.9907907606857296}",-0.19601233303546906,-0.18880441784858704,-0.1900060921907425,-0.1916076143582662,0.0031530054736313073,9,-0.14221365749835968,-0.13304995000362396,-0.13755445182323456,-0.13760601977507272,0.0037412456216712534
38,5.8069954713185625,0.10748271412973971,0.02790355682373047,0.00038038910355122046,0.8025639000149204,0.7275397197440325,0.04707849413428006,0.041141330939129424,9,4,552,0.4741738290873252,0.8913366426040059,0.8474847625350497,"{'regressor__colsample_bylevel': 0.8025639000149204, 'regressor__colsample_bytree': 0.7275397197440325, 'regressor__gamma': 0.04707849413428006, 'regressor__learning_rate': 0.041141330939129424, 'regressor__max_depth': 9, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 552, 'regressor__reg_alpha': 0.4741738290873252, 'regressor__reg_lambda': 0.8913366426040059, 'regressor__subsample': 0.8474847625350497}",-0.1948193907737732,-0.19094449281692505,-0.18916194140911102,-0.1916419416666031,0.002361709762279158,10,-0.09637024998664856,-0.0805056095123291,-0.0865737572312355,-0.08781653891007106,0.006536058142886571
